date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2025-01-23,-0.022727272727272707,0.017473326117210607,42.009132420091326,4.176070967379709,1,0,0,0,1,0,-0.00396239381223229
2025-01-24,0.0759689922480622,0.022061649627180997,51.340996168582386,2.4441914567143495,1,0,0,0,1,0,0.018569625084407404
2025-01-27,-0.007204610951008661,0.029569480618967466,60.089686098654695,0.1844006977323698,1,0,0,0,1,0,0.006557424301382175
2025-01-28,0.03483309143686486,0.03712739193413131,71.17117117117115,0.8333333333333334,0,0,0,0,0,0,0.0013458950201883368
2025-02-03,0.0014025245441795509,0.04863798467258515,68.31683168316832,1.9998210450966356,0,0,0,0,1,0,-0.00038606726149625903
2025-02-04,0.040616246498599295,0.07010014306151646,74.22222222222221,1.0703097807170205,0,0,1,0,0,0,0.028322533579367537
2025-02-05,-0.004037685060565233,0.07907952927066922,78.40375586854461,0.5211500043429167,0,0,1,0,0,0,-0.009264282435421323
2025-02-06,0.024324324324324298,0.09394572025052188,78.50467289719626,0.20594864542360897,0,0,0,0,0,0,0.014293135644384503
2025-02-07,0.0474934036939314,0.10573661701813873,82.92682926829268,1.0418760469011725,0,0,0,0,0,0,0.011572375797677115
2025-02-10,0.03400503778337516,0.12060447544318506,83.72093023255812,0.48364314368043393,0,0,0,0,0,0,0.018391559587832118
2025-02-11,-0.02679658952496944,0.12389571213100625,76.0299625468165,0.7634845655278479,0,0,0,0,0,0,-0.010561535050590543
2025-02-12,0.03379224030037542,0.13297910024796322,80.13937282229968,0.438942645548408,1,0,0,1,0,0,0.02644123039315538
2025-02-13,-0.05932203389830504,0.12576192811602316,66.56151419558361,1.343967069719578,1,0,0,0,1,0,-0.0019845995078193734
2025-02-14,0.06949806949806936,0.12081835775504554,73.81615598885796,0.6144915932746197,0,0,0,0,0,0,0.03694718421889909
2025-02-17,0.02166064981949467,0.11188287368062654,78.17679558011054,0.9622812455295408,1,0,0,0,1,0,-0.00019176926322250765
2025-02-18,0.06478209658421674,0.12086735376790256,78.53260869565221,0.62232955600966,1,0,0,0,1,0,0.015945475934734832
2025-02-19,0.025442477876106206,0.12775330396475776,80.82901554404148,0.8450191221999636,0,0,0,0,0,0,-0.0014096738870499337
2025-02-20,-0.009708737864077777,0.1448881995605533,77.62803234501351,1.1038199122158967,1,0,0,0,1,0,-0.01600725998563124
2025-02-21,0.045751633986928164,0.1567060017764244,79.85436893203885,0.6644998194293968,1,0,0,0,1,0,0.039900600750617965
2025-02-24,0.006249999999999867,0.16380383370674628,78.66323907455015,0.9281562427342478,0,0,0,0,0,0,-0.005777000394166287
2025-02-25,0.02898550724637694,0.16099165499177667,80.67632850241549,0.7687733145915554,1,0,0,0,1,0,-0.01316979495756676
2025-02-26,0.05633802816901401,0.16568294282477788,82.30088495575224,1.017350624740925,1,0,0,0,1,0,0.032729874956058946
2025-02-27,-0.056190476190476235,0.16216691068814054,70.73684210526315,2.710144927536232,0,0,1,0,0,0,-0.0029297706026087944
2025-02-28,-0.022199798183652808,0.14707749120073862,65.74468085106385,2.419370183617163,0,0,0,0,0,0,-0.032761101221683075
2025-03-03,-0.012383900928792602,0.1291680892227153,67.17391304347827,2.0606349964191932,0,0,1,0,0,0,0.0028362178719543163
2025-03-04,-0.009404388714733591,0.10579897632037799,63.800904977375566,1.1857330311344387,0,0,1,0,1,0,-0.0026396500578208526
2025-03-05,0.07067510548523215,0.08120084191868836,75.8695652173913,0.9720761771234957,0,0,1,0,1,0,0.02853325939555873
2025-03-06,0.00886699507389177,0.07270742358078615,73.25301204819277,1.054492559024281,0,0,0,0,0,0,0.035510354123269305
2025-03-07,-0.0234375,0.06747274101263089,67.9334916864608,1.3143941873404463,0,0,0,0,1,0,-0.005526104037487545
2025-03-10,-0.009000000000000008,0.06504065040650436,61.59999999999998,1.0786932834094112,0,0,0,1,0,0,-0.018479075689246893
2025-03-11,0.0131180625630678,0.06534045817681601,60.54794520547944,0.8490507314036726,0,0,0,0,1,0,-4.8491901852409924e-05
2025-03-12,-0.033864541832669404,0.0478340771856131,56.666666666666664,0.24267695194412592,0,0,0,0,0,0,-0.007140778817710136
2025-03-13,0.016494845360824684,0.028565492884595558,53.57142857142856,0.3475246452172029,1,0,0,0,1,0,-0.005739056108431506
2025-03-14,0.015212981744421983,0.019769357495881254,54.69168900804289,0.455899945622621,1,0,0,0,1,0,0.02123426466073064
2025-03-17,0.03596403596403608,0.019375892310830308,55.64304461942256,0.8545482262244387,0,0,0,0,0,0,0.0077446665223561695
2025-03-18,0.03375120540019294,0.024469160768453,53.05555555555556,1.1914857709427673,1,0,1,0,1,0,0.024642592901978677
2025-03-19,0.011194029850746245,0.03927371219340916,64.85623003194888,1.0355165091393597,0,1,0,0,0,0,0.0012345247661973424
2025-03-20,-0.024907749077490826,0.046224347479577606,63.83647798742135,0.684413875090222,1,0,0,0,0,0,-0.022252207190964213
2025-03-21,-0.04068117313150421,0.0460009935419771,58.16618911174784,0.7970038714021208,0,0,0,0,0,0,-0.021890168459122505
2025-03-24,0.04832347140039439,0.046126464626489415,64.78149100257068,0.4314938971978683,1,0,0,0,1,0,0.009110148876131152
2025-03-25,-0.057384760112887956,0.03187546330615279,48.3028720626632,0.8147990644269615,1,0,1,0,1,0,-0.02347978063038636
2025-03-26,0.0059880239520957446,0.018966968751547488,47.89473684210525,0.18714473108876256,0,0,0,0,0,0,0.005961711739511433
2025-03-27,-0.03968253968253965,0.002478929102627665,45.95959595959596,0.4931612406087459,0,0,0,0,0,0,0.004061349693251559
2025-03-28,-0.014462809917355268,-0.008682709005209625,45.38653366583543,0.7460241982353252,1,0,1,0,1,0,-0.006452322469479799
2025-03-31,-0.0366876310272537,-0.03544266043644676,39.95271867612293,0.7064373238221251,1,0,1,0,0,0,-0.013111447302067591
2025-04-01,-0.06420021762785644,-0.05956363273253799,37.723214285714285,1.1832939873509953,0,0,0,0,0,0,0.003776312673704041
2025-04-02,-0.03023255813953485,-0.08605401047964521,33.40611353711792,1.2735670917700375,0,0,0,0,0,0,-0.00018624286069035545
2025-04-03,0.033573141486810565,-0.10007111652951317,35.24416135881104,3.5059023223516705,0,0,0,1,0,0,-0.015125737348649526
2025-04-07,-0.17981438515081205,-0.13742071881606768,22.033898305084747,3.181658344468669,1,0,0,0,1,0,-0.13180425435333576
2025-04-08,0.043847241867043696,-0.1638453500522465,21.501706484641616,1.1500035261759798,0,0,0,1,0,0,0.015089900368896458
2025-04-09,0.08536585365853644,-0.167344352326134,27.78649921507062,3.366674197457331,0,0,0,0,0,0,0.006796102613995769
2025-04-10,0.01622971285892638,-0.16468771630903561,30.4975922953451,2.07136867604584,0,0,0,0,0,0,0.02059174624829474
2025-04-11,0.03071253071253066,-0.1630353117956425,35.537190082644614,0.9985442389604788,1,0,0,0,0,0,0.011264742331202893
2025-04-14,-0.03218116805721105,-0.1316888045540795,28.47341337907376,0.9584764827959052,0,1,0,1,0,1,0.024040977060556745
2025-04-15,0.0,-0.10472008781558732,31.800766283524894,0.6411130337510705,1,0,0,1,1,1,0.0022723605658043766
2025-04-16,-0.04064039408866993,-0.09499637418419145,29.143897996357012,0.8492808225207302,1,0,0,1,1,0,-0.0190633342724138
2025-04-17,0.010269576379974277,-0.0858763471355643,32.495164410058024,0.2379566293115995,0,0,0,1,1,0,0.01605579868708973
2025-04-22,0.06226175349428198,-0.07496122695157652,39.31159420289854,0.9765576254568143,1,0,1,1,1,0,0.008681723961558196
2025-04-23,0.06578947368421062,-0.050098345481893,47.55244755244754,1.621484156451859,1,0,1,0,1,0,0.02365924285085197
2025-04-24,0.012345679012345734,-0.02014598540145995,54.007633587786266,0.3610805317977814,1,0,0,0,0,0,-0.007378245906768166
2025-04-25,-0.004434589800443534,0.013806474355208239,56.37450199203187,0.25643241001537903,0,0,0,0,1,0,0.0032437685498909463
2025-04-28,-0.0033407572383072903,0.046132008516678556,53.45911949685534,0.12387328938945694,0,0,0,0,1,1,-0.0004057963425968536
